Full_sequence,N_targets,Period,Science_target,Sequence_type,calibrator_1,calibrator_2,calibrator_3,science_1,science_2,target_01,target_02,target_03,target_04,target_05
HD_76437 - psi_Vel - HR_3729 - psi_Vel - HD_84369,5,106,psi_Vel,faint,HD_76437,HR_3729,HD_84369,psi_Vel,psi_Vel,HD_76437,psi_Vel,HR_3729,psi_Vel,HD_84369
HD_61574 - HR_2998 - HR_3069 - HR_2998 - HD_65187,5,106,HR_2998,faint,HD_61574,HR_3069,HD_65187,HR_2998,HR_2998,HD_61574,HR_2998,HR_3069,HR_2998,HD_65187
HD121981 - HD124850 - HD123255 - HD124850 - HD125490,5,106,HD124850,faint,HD121981,HD123255,HD125490,HD124850,HD124850,HD121981,HD124850,HD123255,HD124850,HD125490
HD_218330 - iot_Psc - HD_43 - iot_Psc - HR_67,5,106,iot_Psc,faint,HD_218330,HD_43,HR_67,iot_Psc,iot_Psc,HD_218330,iot_Psc,HD_43,iot_Psc,HR_67
HR_2342 - ksi_Gem - HR_2391 - ksi_Gem - HR_2426,5,106,ksi_Gem,faint,HR_2342,HR_2391,HR_2426,ksi_Gem,ksi_Gem,HR_2342,ksi_Gem,HR_2391,ksi_Gem,HR_2426
HD_210056 - bet_Hyi - lam_Tuc - bet_Hyi - kap_Hyi,5,106,bet_Hyi,faint,HD_210056,lam_Tuc,kap_Hyi,bet_Hyi,bet_Hyi,HD_210056,bet_Hyi,lam_Tuc,bet_Hyi,kap_Hyi
HD141589 - HD142860 - HD141827 - HD142860 - HD143896,5,106,HD142860,faint,HD141589,HD141827,HD143896,HD142860,HD142860,HD141589,HD142860,HD141827,HD142860,HD143896
HD_59936 - rho_Pup - HD_63734 - rho_Pup - HR_3317,5,106,rho_Pup,faint,HD_59936,HD_63734,HR_3317,rho_Pup,rho_Pup,HD_59936,rho_Pup,HD_63734,rho_Pup,HR_3317
HD178665 - HD182572 - HD178596 - HD182572 - HD186202,5,106,HD182572,faint,HD178665,HD178596,HD186202,HD182572,HD182572,HD178665,HD182572,HD178596,HD182572,HD186202
HD142443 - HD141004 - HD142862 - HD141004 - HD143129,5,106,HD141004,faint,HD142443,HD142862,HD143129,HD141004,HD141004,HD142443,HD141004,HD142862,HD141004,HD143129
HD_30519 - pi3_Ori - HD_30507 - pi3_Ori - HR_1618,5,106,pi3_Ori,faint,HD_30519,HD_30507,HR_1618,pi3_Ori,pi3_Ori,HD_30519,pi3_Ori,HD_30507,pi3_Ori,HR_1618
HR_8809 - zet_Tuc - HD_68 - zet_Tuc - HD_323,5,106,zet_Tuc,faint,HR_8809,HD_68,HD_323,zet_Tuc,zet_Tuc,HR_8809,zet_Tuc,HD_68,zet_Tuc,HD_323
